"kolam_png_hash","artist_id","jathi_standard_all","size","entropy","entropy_exponentiated","total_gestures","n_unique_gestures","gesture_gini","density","age","duration_practice"
"193add9","blr",17,7,1.09,2.97427407256307,104,4,0.538461538461538,2.12244897959184,25,15
"19a2829","blr",17,5,1.27,3.56085256235552,24,4,0.333333333333333,0.96,25,15
"1d1aef5","blr",17,4,0,1,16,1,NA,1,25,15
"8fb3fa6","blr",17,5,1.72,5.58452846427605,44,7,0.424242424242424,1.76,25,15
"a1f438e","blr",17,6,0.68,1.97387773223045,68,3,0.705882352941177,1.88888888888889,25,15
"d37493d","blr",17,5,1.3,3.66929666761924,46,4,0.304347826086957,1.84,25,15
"f2f06da","blr",17,6,0.85,2.33964685192599,34,3,0.529411764705882,0.944444444444444,25,15
"0045b9e","blr",17,5,1.45,4.26311451516882,36,6,0.511111111111111,1.44,25,15
"259fd29","blr",17,5,1.33,3.78104338756878,20,4,0.2,0.8,25,15
"2a2bc5d","blr",17,3,1.09,2.97427407256307,20,4,0.533333333333333,2.22222222222222,25,15
"337d625","blr",17,5,1.12,3.064854203293,56,4,0.523809523809524,2.24,25,15
"59d915c","blr",17,5,1.33,3.78104338756878,26,4,0.256410256410256,1.04,25,15
"5d14e25","blr",17,5,1.21,3.35348465254902,32,4,0.416666666666667,1.28,25,15
"5e38783","blr",17,7,1.07,2.915379499977,44,3,0.181818181818182,0.897959183673469,25,15
"71902f4","blr",17,5,1.25,3.49034295746184,28,5,0.535714285714286,1.12,25,15
"a7908f5","blr",17,5,1.15,3.15819290968977,28,4,0.428571428571429,1.12,25,15
"29b9b61","bqt",17,4,1.24,3.45561346476268,24,4,0.333333333333333,1.5,40,33
"6f24dba","bqt",17,4,0.86,2.36316069370579,44,3,0.545454545454545,2.75,40,33
"ace363f","bqt",17,5,1.31,3.7061737122102,24,5,0.5,0.96,40,33
"fa7a726","bqt",17,13,1.61,5.00281122783359,177,8,0.581920903954802,1.04733727810651,40,33
"5abc8b2","bqt",17,11,1.1,3.00416602394643,146,4,0.488584474885845,1.20661157024793,40,33
"62d8973","bqt",17,15,1.36,3.89619330179521,272,7,0.659313725490196,1.20888888888889,40,33
"dfac602","bqt",17,5,1.32,3.74342137726086,49,5,0.469387755102041,1.96,40,33
"11132d4","bqt",17,7,1.24,3.45561346476268,56,4,0.380952380952381,1.14285714285714,40,33
"69c0f4a","bqt",17,7,1.1,3.00416602394643,65,4,0.476923076923077,1.3265306122449,40,33
"6e6d72f","bqt",17,9,1.63,5.10387471853673,92,7,0.391304347826087,1.1358024691358,40,33
"7921a36","bqt",17,7,1.19,3.28708120738312,65,5,0.6,1.3265306122449,40,33
"c332f19","bqt",17,7,1.54,4.66459027098813,49,6,0.436734693877551,1,40,33
"c95946d","bqt",17,8,1.44,4.22069581699655,78,9,0.676282051282051,1.21875,40,33
"fd516bb","bqt",17,7,1.63,5.10387471853673,52,6,0.353846153846154,1.06122448979592,40,33
"6ff831a","bqt",17,23,1.16,3.18993327611618,625,7,0.729066666666667,1.18147448015123,40,33
"0053a04","c3w",15,7,1.27,3.56085256235552,49,5,0.551020408163265,1,27,15
"165185e","c3w",15,5,1.25,3.49034295746184,28,5,0.535714285714286,1.12,27,15
"399671f","c3w",15,5,1.32,3.74342137726086,49,5,0.469387755102041,1.96,27,15
"6e8ccbf","c3w",15,7,1.33,3.78104338756878,57,7,0.672514619883041,1.16326530612245,27,15
"d78c3cf","c3w",15,7,0.83,2.29331874026418,97,5,0.793814432989691,1.97959183673469,27,15
"f9c0292","c3w",15,8,1.21,3.35348465254902,30,4,0.422222222222222,0.46875,27,15
"55a6e73","cb3",8,11,1.25,3.49034295746184,149,6,0.661744966442953,1.23140495867769,32,22
"8821683","cb3",8,7,1.27,3.56085256235552,64,7,0.677083333333333,1.30612244897959,32,22
"065b267","cb3",8,11,1.18,3.25437420288967,114,4,0.467836257309941,0.942148760330578,32,22
"b04dc73","cb3",8,5,0.74,2.09593551449436,32,3,0.625,1.28,32,22
"fd089c9","cb3",8,7,1.37,3.93535069547047,56,5,0.428571428571429,1.14285714285714,32,22
"86aba52","cb3",8,4,0.85,2.33964685192599,18,3,0.555555555555556,1.125,32,22
"ab9569a","cb3",8,10,1.23,3.42122953628967,120,6,0.676666666666667,1.2,32,22
"bdb60ab","cb3",8,7,1.24,3.45561346476268,44,4,0.393939393939394,0.897959183673469,32,22
"6350c6b","cb3",8,4,1.44,4.22069581699655,14,5,0.392857142857143,0.875,32,22
"81dc55f","cb3",8,5,1.25,3.49034295746184,28,5,0.535714285714286,1.12,32,22
"af2f75a","cb3",8,4,1.21,3.35348465254902,16,4,0.416666666666667,1,32,22
"52c1b73","cfn",16,9,1.66,5.2593108444469,81,7,0.448559670781893,1,21,6
"219f833","cm0",18,7,0.96,2.61169647342312,48,3,0.416666666666667,0.979591836734694,25,13
"437b6f5","cm0",18,3,0.97,2.63794445935415,16,3,0.375,1.77777777777778,25,13
"6d59495","cm0",18,7,1.14,3.12676836518616,64,4,0.5,1.30612244897959,25,13
"9226260","cm0",18,9,1.66,5.2593108444469,81,7,0.448559670781893,1,25,13
"e07f8d3","cm0",18,4,0.95,2.58570965931585,40,3,0.4,2.5,25,13
"e613b09","cm0",18,9,1.36,3.89619330179521,88,6,0.581818181818182,1.08641975308642,25,13
"1f011c8","cm0",18,9,1.11,3.03435839443568,84,4,0.523809523809524,1.03703703703704,25,13
"6501a32","cm0",18,5,1.7,5.4739473917272,24,7,0.388888888888889,0.96,25,13
"6c7d14e","cm0",18,7,1.11,3.03435839443568,76,4,0.508771929824561,1.55102040816327,25,13
"d672bb7","cm0",18,9,1.59,4.90374892832662,80,6,0.4,0.987654320987654,25,13
"dacae72","cm0",18,4,1.28,3.59663972556928,14,4,0.333333333333333,0.875,25,13
"f548b82","cm0",18,4,0.85,2.33964685192599,18,3,0.555555555555556,1.125,25,13
"fcc0c28","cm0",18,7,1.13,3.09565650012471,52,4,0.487179487179487,1.06122448979592,25,13
"227aaba","cm0",18,3,1.01,2.74560101501692,12,3,0.333333333333333,1.33333333333333,25,13
"a3f702c","cm0",18,7,1.34,3.81904350536634,57,5,0.473684210526316,1.16326530612245,25,13
"1a7615b","cq9",11,5,1.15,3.15819290968977,28,4,0.428571428571429,1.12,40,20
"290bebd","cq9",11,5,0.93,2.53450917761785,65,4,0.641025641025641,2.6,40,20
"7a7cdc5","cq9",11,5,1.55,4.71147018259074,36,6,0.422222222222222,1.44,40,20
"7abef98","cq9",11,6,0.89,2.43512965128987,60,5,0.758333333333333,1.66666666666667,40,20
"8496f03","cq9",11,3,1.37,3.93535069547047,17,5,0.470588235294118,1.88888888888889,40,20
"8e52258","cq9",11,7,1.24,3.45561346476268,44,4,0.393939393939394,0.897959183673469,40,20
"c6dd5d3","cq9",11,5,1.38,3.97490162749475,24,5,0.458333333333333,0.96,40,20
"15ac5e0","csk",10,6,0.6,1.82211880039051,50,3,0.76,1.38888888888889,38,26
"1b91299","csk",10,11,1.39,4.0148500529942,140,6,0.577142857142857,1.15702479338843,38,26
"50f8c51","csk",10,7,0.62,1.85892804184634,104,3,0.730769230769231,2.12244897959184,38,26
"64bbf0d","csk",10,9,0.67,1.95423732063594,128,3,0.6875,1.58024691358025,38,26
"73b3600","csk",10,9,0.81,2.24790798667647,128,3,0.59375,1.58024691358025,38,26
"cef60d1","csk",10,6,1.61,5.00281122783359,36,6,0.377777777777778,1,38,26
"d015209","csk",10,6,1.65,5.20697982717985,38,6,0.347368421052632,1.05555555555556,38,26
"f825817","csk",10,6,1.02,2.7731947639643,54,4,0.580246913580247,1.5,38,26
"1878941","csk",10,4,0.85,2.33964685192599,18,3,0.555555555555556,1.125,38,26
"3f8d857","csk",10,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,38,26
"661a25b","csk",10,5,1.61,5.00281122783359,27,6,0.392592592592593,1.08,38,26
"7b50a3e","csk",10,6,0.6,1.82211880039051,50,3,0.76,1.38888888888889,38,26
"9b29e70","csk",10,5,1.37,3.93535069547047,24,6,0.583333333333333,0.96,38,26
"9bfb001","csk",10,3,1.2,3.32011692273655,17,4,0.411764705882353,1.88888888888889,38,26
"e57b312","csk",10,6,1.44,4.22069581699655,38,6,0.473684210526316,1.05555555555556,38,26
"382ad65","csk",10,5,1.47,4.34923514106274,24,5,0.333333333333333,0.96,38,26
"4c7e39c","csk",10,5,1.15,3.15819290968977,28,4,0.428571428571429,1.12,38,26
"744a745","csk",10,4,0.85,2.33964685192599,18,3,0.555555555555556,1.125,38,26
"7a2636d","csk",10,5,1.7,5.4739473917272,24,7,0.388888888888889,0.96,38,26
"208a784","ctr",10,3,1.2,3.32011692273655,17,4,0.411764705882353,1.88888888888889,35,15
"30185c3","ctr",10,5,1.36,3.89619330179521,25,5,0.44,1,35,15
"4d206dd","ctr",10,10,1.12,3.064854203293,106,7,0.773584905660377,1.06,35,15
"528842b","ctr",10,5,1.3,3.66929666761924,28,6,0.614285714285714,1.12,35,15
"a233741","ctr",10,6,0.89,2.43512965128987,82,4,0.691056910569106,2.27777777777778,35,15
"ba9eb6b","ctr",10,9,0.99,2.69123447234926,109,7,0.792048929663609,1.34567901234568,35,15
"028ff03","ctr",10,7,0.89,2.43512965128987,65,5,0.753846153846154,1.3265306122449,35,15
"259c1a1","ctr",10,5,1.04,2.82921701435156,41,4,0.560975609756098,1.64,35,15
"35d4bb7","ctr",10,7,0.69,1.99371553324308,64,2,0.125,1.30612244897959,35,15
"4e96ac1","ctr",10,5,0.9,2.45960311115695,28,4,0.666666666666667,1.12,35,15
"677977d","ctr",10,5,1.09,2.97427407256307,20,3,0.1,0.8,35,15
